IDday;type;startTime;sportTime;distance;maxPace;minPace;avgPace;calories;avgBpm;maxBpm;date;startTimeSport;anaerobicTime;aerobicTime;intensiveTime;lightTime;relaxTime;Column1
364;16;1620149203;3988;0;41708133;8770;4543;4290;115;150;4052021;1926;0;4;23;26;12;
363;16;1620059848;5562;0;5239033;6230;8913;5280;109;136;3042021;1837;0;0;9;69;15;
362;16;1619944833;5435;0;44428968;23120;235;7640;132;168;2052021;1040;3;25;46;12;5;
361;16;1619880691;4712;0;547608;10690;4404;5070;115;136;1052021;1651;0;0;26;45;7;
361;6;1619873394;4778;0;45671955;38170;1251;4260;105;128;1052021;1449;0;0;3;57;19;
359;16;1619717715;3373;0;50608385;6370;5285;3870;119;150;29042021;1935;0;1;28;22;5;
356;16;1619454744;6775;0;4855602;14410;4698;7410;116;154;26042021;1832;0;3;43;54;12;
353;16;1619193826;8129;0;47849852;25080;3239;9000;117;143;23042021;1803;0;1;48;80;6;
352;6;1619109212;2449;0;5847068;25130;974;2070;103;133;22042021;1833;0;0;4;23;14;
351;16;1619020530;8606;0;48961768;11130;7724;8350;110;145;21042021;1755;0;1;37;66;39;
351;16;1619006124;8390;0;41137874;41660;2013;5540;93;134;21042021;1355;0;0;5;51;83;
349;16;1618847349;6677;0;3627918;13090;5096;7790;120;154;19042021;1749;0;5;47;56;3;
349;6;1618833434;3722;0;2635636;40080;928;3120;103;124;19042021;1357;0;0;1;42;19;
347;16;1618676860;5237;0;5215058;6460;8093;4730;107;142;17042021;1827;0;0;23;28;36;
345;16;1618417204;5506;0;49654904;9110;6039;6100;117;150;14042021;1820;0;6;37;34;15;
345;6;1618401705;2852;0;3996972;31190;936;2290;102;124;14042021;1401;0;0;0;30;17;
343;16;1618335273;4646;0;27468532;9280;5001;4950;114;148;13042021;1934;0;4;31;21;21;
341;16;1618154204;5176;0;22587913;22730;2276;7030;129;176;11042021;1716;6;21;34;16;9;
338;6;1617892172;2355;0;547009;33980;692;2470;114;130;8042021;1629;0;0;2;37;1;
335;16;1617611804;5116;0;22479615;22160;2306;6570;125;180;5042021;1036;4;6;45;29;1;
334;6;1617551420;3523;4493275;46734983;37830;93;2770;101;115;4042021;1750;0;0;0;33;26;
333;16;1617458429;7406;33699565;28181753;28180;2628;8780;120;177;3042021;1600;4;7;50;51;10;
331;16;1617291184;7907;22466376;27206898;24320;1301;8570;115;169;1042021;1733;3;9;38;54;27;
330;16;1617211412;3454;0;22826602;18690;1847;5160;136;175;31032021;1923;3;17;30;6;1;
329;6;1617120924;3437;27521045;4846789;48250;712;2670;100;118;30032021;1815;0;0;0;28;29;
328;16;1617034526;2480;0;36268353;11960;2072;2990;122;174;29032021;1815;5;2;10;23;2;
324;16;1616696851;4422;0;22941932;16830;2626;6820;138;174;25032021;1927;5;36;20;9;3;
323;6;1616590171;1964;0;56449467;27340;717;1880;110;126;24032021;1349;0;0;1;29;2;
317;16;1616091976;4633;0;18437837;12170;3804;5500;120;175;18032021;1926;1;12;28;23;13;
316;6;1615984915;2640;27580898;22657526;36930;715;2990;117;157;17032021;1341;0;5;9;30;0;
